DISTRITO	ESTADO	LONGITUDE	LATITUDE
ALTA FLORESTA D'OESTE	RONDÔNIA	-61.9998238962936	-11.9355403047646
FILADÉLFIA D'OESTE	RONDÔNIA	-62.0438976671535	-12.4372387282654
IZIDOLÂNDIA	RONDÔNIA	-62.1755494862916	-12.6014154908772
NOVA GEASE D'OESTE	RONDÔNIA	-62.3186501358513	-11.9197924573341
ROLIM DE MOURA DO GUAPORÉ	RONDÔNIA	-62.2768122679487	-13.0798064324339
SANTO ANTÔNIO D'OESTE	RONDÔNIA	-62.1044283378781	-12.0894388225116
ARIQUEMES	RONDÔNIA	-63.0332692780484	-9.9084628665672
CABIXI	RONDÔNIA	-60.5443135812009	-13.4997634596963
PLANALTO SÃO LUIZ	RONDÔNIA	-60.4152064894834	-13.3744467662961
CACOAL	RONDÔNIA	-61.4429442118224	-11.4338650286852
RIOZINHO	RONDÔNIA	-61.3597146164499	-11.5106097543395
ALDEIA INDÍGENA SURUÍ - LINHA 14	RONDÔNIA	-61.180935111745	-11.1906203464975
ALDEIA INDÍGENA - LINHA 14	RONDÔNIA	-61.1763712958385	-11.2318777790011
ALDEIA INDÍGENA - LINHA 12	RONDÔNIA	-61.2489909815248	-11.2206103219691
ALDEIA INDÍGENA - LINHA 11	RONDÔNIA	-61.3052547594719	-11.1758443437912
ALDEIA INDÍGENA - LINHA 10	RONDÔNIA	-61.3227495187781	-11.0959001305961
ALDEIA INDÍGENA - LINHA 9	RONDÔNIA	-61.3603653386002	-11.0913580683086
ALDEIA INDÍGENA - LINHA 8	RONDÔNIA	-61.4108712814245	-11.0827156291769
CEREJEIRAS	RONDÔNIA	-60.8184261646815	-13.1950330320399
COLORADO DO OESTE	RONDÔNIA	-60.5550674630789	-13.1305638414553
CORUMBIARA	RONDÔNIA	-60.9487011706614	-12.9975202364834
ALTO GUARAJUS	RONDÔNIA	-60.8888152257646	-12.9627022204678
VITÓRIA DA UNIÃO	RONDÔNIA	-61.1286961928154	-13.011655482433
COSTA MARQUES	RONDÔNIA	-64.2316539391172	-12.4360138777142
PRÍNCIPE DA BEIRA	RONDÔNIA	-64.4208600453648	-12.4266797537057
SÃO DOMINGOS	RONDÔNIA	-64.0308512002582	-12.0776772607788
ESPIGÃO D'OESTE	RONDÔNIA	-61.0201731132847	-11.5285546333473
BOA VISTA DO PACARANA	RONDÔNIA	-60.8467946129326	-11.0031526126594
NOVO PARAÍSO	RONDÔNIA	-60.9238161655818	-11.4616126192937
FLOR DA SERRA	RONDÔNIA	-60.7512857220306	-11.4053851830604
NOVA ESPERANÇA	RONDÔNIA	-61.1320564138505	-11.5037898576071
GUAJARÁ-MIRIM	RONDÔNIA	-65.3239518196923	-10.7738837406705
POSTO INDÍGENA SANTO ANDRÉ	RONDÔNIA	-64.7530566854107	-10.5042853487987
POSTO INDÍGENA TANAJURA	RONDÔNIA	-65.1837372640973	-11.047600215094
IATA	RONDÔNIA	-65.3828280304954	-10.5898540402373
SURPRESA	RONDÔNIA	-65.0215214939607	-11.8823104504191
JARU	RONDÔNIA	-62.4762307081317	-10.4359487678844
BOM JESUS	RONDÔNIA	-62.2407498504001	-10.3154657871915
SANTA CRUZ DA SERRA	RONDÔNIA	-62.587103549393	-10.651473503671
TARILÂNDIA	RONDÔNIA	-62.8013133007427	-10.8569138501545
D'JARU-UARU	RONDÔNIA	-62.9778332250824	-10.9380630013399
JI-PARANÁ	RONDÔNIA	-61.9450945826841	-10.882051318349
NOVA COLINA	RONDÔNIA	-61.6931720073576	-10.7917965255095
NOVA LONDRINA	RONDÔNIA	-62.0098478511538	-11.0647730816189
MACHADINHO D'OESTE	RONDÔNIA	-61.9995925724466	-9.42556248
ORIENTE NOVO	RONDÔNIA	-62.3953527070522	-9.58942920024486
QUINTO BEC	RONDÔNIA	-62.2156695254714	-9.68982120643829
TABAJARA	RONDÔNIA	-62.0567234811129	-8.93336295810437
NOVA BRASILÂNDIA D'OESTE	RONDÔNIA	-62.308230163019	-11.7213254138559
OURO PRETO DO OESTE	RONDÔNIA	-62.2610551904363	-10.7235739008135
RONDOMINAS	RONDÔNIA	-61.999999642361	-10.5135961939108
PIMENTA BUENO	RONDÔNIA	-61.183665673642	-11.67753699
MARCO RONDON	RONDÔNIA	-60.8600581150897	-12.0134266243568
PORTO VELHO	RONDÔNIA	-63.8314456543611	-8.76889179
VILA PRINCESA	RONDÔNIA	-63.9416433668811	-8.84955130915508
ABUNÃ	RONDÔNIA	-65.3715057261488	-9.68561772719142
CALAMA	RONDÔNIA	-62.871889141589	-8.02541201841792
DEMARCAÇÃO	RONDÔNIA	-62.7778827668526	-8.16692669009705
EXTREMA	RONDÔNIA	-66.3595502397204	-9.7741695287462
FORTALEZA DO ABUNÃ	RONDÔNIA	-65.5216204246159	-9.77346400169669
JACI PARANÁ	RONDÔNIA	-64.3951087495412	-9.25266785313145
MUTUM PARANÁ	RONDÔNIA	-64.9427072915278	-9.61867241707366
UNIÃO DOS BANDEIRANTES	RONDÔNIA	-64.5351499459039	-9.71319796817298
NAZARÉ	RONDÔNIA	-63.3223088427781	-8.16421653931085
NOVA CALIFÓRNIA	RONDÔNIA	-66.6097484179976	-9.76017305002853
SÃO CARLOS	RONDÔNIA	-63.5299595267409	-8.43757958790174
VISTA ALEGRE DO ABUNÃ	RONDÔNIA	-65.7293287564468	-9.65683247210957
PRESIDENTE MÉDICI	RONDÔNIA	-61.9094386835298	-11.1732050162268
ESTRELA DE RONDÔNIA	RONDÔNIA	-61.7828823956127	-11.3014549398322
NOVO RIACHUELO	RONDÔNIA	-61.6578203462112	-11.0829466874201
VILA BANDEIRA BRANCA	RONDÔNIA	-61.9198756686955	-11.0791353597626
VILA CAMARGO	RONDÔNIA	-61.9757216789519	-11.1303115811011
RIO CRESPO	RONDÔNIA	-62.9000103659589	-9.70553670973949
ROLIM DE MOURA	RONDÔNIA	-61.7857809351854	-11.7222589133808
NOVA ESTRELA	RONDÔNIA	-61.5494577720207	-11.7304608245934
SANTA LUZIA D'OESTE	RONDÔNIA	-61.7733054630545	-11.908423332469
VILHENA	RONDÔNIA	-60.1385838660987	-12.7413734718029
NOVA CONQUISTA	RONDÔNIA	-60.2870166022146	-12.985353834538
SÃO MIGUEL DO GUAPORÉ	RONDÔNIA	-62.7200634814364	-11.6994897438059
SANTANA DO GUAPORÉ	RONDÔNIA	-62.4968465202488	-11.7258487170354
NOVA MAMORÉ	RONDÔNIA	-65.3291490231467	-10.4117712947002
ARARAS	RONDÔNIA	-65.3190201497763	-10.0546151981329
JACYNÓPOLIS	RONDÔNIA	-64.2869890831847	-10.2690476315081
NOVA DIMENSÃO	RONDÔNIA	-64.8064670857149	-10.3706287812305
PALMEIRAS	RONDÔNIA	-64.973523529344	-10.3777677788383
ALVORADA D'OESTE	RONDÔNIA	-62.2772748656972	-11.3441300234334
TANCREDÓPOLIS	RONDÔNIA	-62.1754865227264	-11.187569865988
TERRA BOA	RONDÔNIA	-62.4600427627476	-11.5099046759491
ALTO ALEGRE DOS PARECIS	RONDÔNIA	-61.853077168603	-12.1317772245709
FLOR DA SERRA	RONDÔNIA	-61.9159719520423	-12.4569819639799
ALTO PARAÍSO	RONDÔNIA	-63.3176294334976	-9.71666673807728
BURITIS	RONDÔNIA	-63.8296787917565	-10.2098054072356
NOVO HORIZONTE DO OESTE	RONDÔNIA	-61.9943876627606	-11.7097429200152
MIGRANTINÓPOLIS	RONDÔNIA	-62.1445129998384	-11.7311287253328
CACAULÂNDIA	RONDÔNIA	-62.9031899345687	-10.3388728393928
CAMPO NOVO DE RONDÔNIA	RONDÔNIA	-63.6249914265426	-10.5684164693485
RIO BRANCO	RONDÔNIA	-64.0645139769788	-10.263917063594
CANDEIAS DO JAMARI	RONDÔNIA	-63.7000200718298	-8.78502070347748
NOVA SAMUEL	RONDÔNIA	-63.4145293993335	-8.65740284793436
RIO PRETO DO CANDEIAS	RONDÔNIA	-63.4652595102607	-9.2815787821821
CASTANHEIRAS	RONDÔNIA	-61.9491611964662	-11.4268422254625
JARDINÓPOLIS	RONDÔNIA	-61.8892847492659	-11.4958819917619
CHUPINGUAIA	RONDÔNIA	-60.9018477499554	-12.5568407610938
VILA GUAPORÉ	RONDÔNIA	-60.6866791181352	-12.231814174153
BOA ESPERANÇA	RONDÔNIA	-61.0440733943323	-12.2983972095357
CUJUBIM	RONDÔNIA	-62.5871745319209	-9.37819339905712
GOVERNADOR JORGE TEIXEIRA	RONDÔNIA	-62.7404576394632	-10.6120717726075
COLINA VERDE	RONDÔNIA	-63.0190806075574	-10.5414755703452
ITAPUÃ DO OESTE	RONDÔNIA	-63.1823370165183	-9.19187167532785
MINISTRO ANDREAZZA	RONDÔNIA	-61.5189219301053	-11.1962379841591
MIRANTE DA SERRA	RONDÔNIA	-62.6694270952566	-11.045609289937
MONTE NEGRO	RONDÔNIA	-63.2955591672175	-10.263097755883
NOVA UNIÃO	RONDÔNIA	-62.55508939888	-10.9155320416628
PARECIS	RONDÔNIA	-61.5979979726776	-12.1798270507077
PIMENTEIRAS DO OESTE	RONDÔNIA	-61.0443790025384	-13.4765620024615
PRIMAVERA DE RONDÔNIA	RONDÔNIA	-61.3165462429165	-11.8257069542468
QUERÊNCIA DO NORTE	RONDÔNIA	-61.3756728935603	-11.9746840926191
SÃO FELIPE D'OESTE	RONDÔNIA	-61.5125081133327	-11.9143893546886
NOVO PARAÍSO	RONDÔNIA	-61.4744220443008	-11.7997378397386
SÃO FRANCISCO DO GUAPORÉ	RONDÔNIA	-63.5708647107649	-12.0637984122334
PORTO MURTINHO	RONDÔNIA	-63.3977288662872	-12.293498434413
SERINGUEIRAS	RONDÔNIA	-63.0387609977072	-11.767116635607
NÚCLEO URBANO BOM SUCESSO	RONDÔNIA	-62.9227376483035	-11.824007408324
NÚCLEO URBANO NOVO PLANALTO	RONDÔNIA	-63.0956686986459	-11.8999051227021
TEIXEIRÓPOLIS	RONDÔNIA	-62.2559222539546	-10.9321692860399
THEOBROMA	RONDÔNIA	-62.3451455299349	-10.2487305520261
PALMARES D'OESTE	RONDÔNIA	-62.348305273458	-10.0283527849502
URUPÁ	RONDÔNIA	-62.3706324537667	-11.1285452756794
NÚCLEO PRIMAVERA	RONDÔNIA	-62.3023368228298	-11.0870715206022
NOVA ALIANÇA	RONDÔNIA	-62.4877422664257	-11.1857628668915
VALE DO ANARI	RONDÔNIA	-62.1768234421278	-9.85139270806179
VALE DO PARAÍSO	RONDÔNIA	-62.1343903568099	-10.4310526845565
SANTA ROSA	RONDÔNIA	-62.0195068097722	-10.1964590275175
ACRELÂNDIA	ACRE	-67.0523165800206	-10.0737938924635
REDENÇÃO	ACRE	-67.0391504716924	-10.0075504307347
ASSIS BRASIL	ACRE	-69.5634591746677	-10.9428656809172
BRASILÉIA	ACRE	-68.7479434259584	-11.0164110190858
AGROVILA DO PA QUIXADA VILA DO INCRA KM 26	ACRE	-68.9289142680915	-10.9553377248173
BUJARI	ACRE	-67.9518592792015	-9.82001962670938
CAPIXABA	ACRE	-67.6735079719432	-10.5697677087928
POLO AGROF DE CAPIXABA VILA HORTIGRANJEIRA	ACRE	-67.7098072843219	-10.4458648731348
CRUZEIRO DO SUL	ACRE	-72.6725313174358	-7.63069000500981
MIRITIZAL	ACRE	-72.6550529510315	-7.63684369281325
SANTA ROSA	ACRE	-72.8104955141558	-7.66963817556492
VILA SÃO PEDRO	ACRE	-72.7409453920837	-7.72318870270807
VILA ASSIS BRASIL OU AGROVILA NARI	ACRE	-72.8138021903479	-7.58145154771963
EPITACIOLÂNDIA	ACRE	-68.7448680666749	-11.0282398279564
FEIJÓ	ACRE	-70.3539836082165	-8.16024753
ALDEIA INDÍGENA TI KAXINAUA SERINGAL DO CURRALINHO	ACRE	-70.4181961482918	-8.48911087779524
JORDÃO	ACRE	-71.9508751248365	-9.19335785982848
MÂNCIO LIMA	ACRE	-72.9165010261308	-7.59322259385836
ALDEIA INDÍGENA TI NAWA	ACRE	-73.4976133363757	-7.57851257736407
MANOEL URBANO	ACRE	-69.2599445775075	-8.83631773689166
MARECHAL THAUMATURGO	ACRE	-72.7902659086983	-8.95359112315366
PLÁCIDO DE CASTRO	ACRE	-67.1882600861516	-10.3351332827427
CAMPINAS	ACRE	-67.2963705352899	-10.0640942238893
PORTO WALTER	ACRE	-72.7423339648033	-8.26666636282753
2º DISTRITO OU HUMAITÁ	ACRE	-72.7340729784849	-8.26258849432321
RIO BRANCO	ACRE	-67.8105287004235	-9.97829875272498
VILA CUSTÓDIO FREIRE	ACRE	-67.8885844757387	-9.90861855920758
SANTA CECÍLIA	ACRE	-67.716966080783	-10.0174349464913
ALBERT SAMPAIO	ACRE	-67.699292426772	-10.0180560028412
VILA JORGE KALUME	ACRE	-67.9184560486214	-9.94159706019217
VILA BELO JARDIM	ACRE	-67.7331186830274	-9.96613846234402
VILA DOM MOACYR	ACRE	-67.6739141379423	-10.0168612243628
RODRIGUES ALVES	ACRE	-72.6478549141997	-7.73360203372322
VILA SÃO PEDRO	ACRE	-72.739528135993	-7.72595405647606
SANTA ROSA DO PURUS	ACRE	-70.4864968937616	-9.44340653741185
SENADOR GUIOMARD	ACRE	-67.7431723600051	-10.1481735861989
AGROVILA DO PA PEDRO PEIXOTO VILA NOVA ALDEIA	ACRE	-67.5392551719917	-10.0873604214425
AGROVILA DO PA PEDRO PEIXOTO VILA PIA	ACRE	-67.4387188123269	-9.88922733534448
SENA MADUREIRA	ACRE	-68.655684061692	-9.065339505
ALDEIA INDÍGENA TI MANCHINERI DO SERINGAL GUANABARA	ACRE	-69.9120719175229	-10.2804618242691
ALDEIA INDÍGENA JAMINAWA DO RIO CAETÉ	ACRE	-69.2380860007901	-9.24630182483701
TARAUACÁ	ACRE	-70.7555010628937	-8.15566859176562
ALDEIA INDÍGENA KAXINAWÁ SERINGAL CURRALINHO	ACRE	-70.687267064393	-8.3790878787292
VILA DO CORCOVADO	ACRE	-70.7308698896782	-8.15346896145759
XAPURI	ACRE	-68.5062948050463	-10.6520719403355
PORTO ACRE	ACRE	-67.5405900835194	-9.60085823118788
AGROVILA DO PA HUMAITÁ (VILA HUMAITÁ)	ACRE	-67.6950469161181	-9.7304702247829
AGROVILA DO PA HUMAITÁ (VILA DO V)	ACRE	-67.7432429311678	-9.67665246937552
AGROVILA DO PA CAQUETÁ VILA CAQUETÁ	ACRE	-67.3572159971734	-9.75478580810084
